,CONCEPT,Ambai (Yapen) [amk],Araki [akr],As [asz],Bierebo (Yevali) [bnk],Biga (Misool) [xmt],Buli [bzq],Futuna-Aniwa (Aniwa) [fut],Gimán [gzn],Irarutu [irh],Kasira (Irahutu) [irh],Lelepa [lpa],Maskelynes [klv],Minyaifuin (Gebe) [gei],Numfor [bhw],Paama (Lironesa) [pma],Pulau (Arguni) [agf],Roria [rga],Vao [vao],Waropen [wrp],Windesi Wandamen [wad]
124,thin,simbena,naβinuβinu,dasis,meniniβi,maglegef,mlifis,manfiñi,manifis,bnifn,bə|nənifə|ne,manfenfe,i-maniβeniβ,kabalal,mbrĕkip,muko,,,mo-m̈eniβniβ,tako,minis
125,this,nini,,inɛrɛ,nani,t|inɛ,taie,čenei,tajini,-ini,not|ini,tena,,tɛnɛ,ine,koa,tieti,,,maia,nini
126,thou,wau,ᵑgo,awa,niᵑga,awa,au,koe,au,o,o,naŋ,kaiuᵑku,auya,au,keik,umbua,ⁿdyo,iniɣo,auo,au
127,thunder,kadidu,piti,alɔʔ,ᵐbolulu,lɔlɔ,dub,fačiri,dimdím,kararu,kərəru,tfai,na-ᵐbelurur,lɔlɔ,kadadu,βou lul,dudum,ᵐbriŋ,na-kur,dora-ruru,kuru|ya
128,to bite,i-kiri,haria,lis,-karia,-awut,oŋ,mauča,pakat,-gor,-mə|gor,katia,-xati,-kɔŋɔt,ar|k,-ati,-ret,ⁿdere,-xati,afano,karip(e)
129,to blow,siai,,nus,-yuia,-auf,uf[o],fia,ufu,uf,nufə,sia,-βuβ,nuf,wuf,-uhi,sera...,sis,-iβi,ufa,bub[u]
130,to breathe,aiou,,,-mamaŋa,nafas,fawa,musaki,manou,sagwei,-me|sagwe,marmar,-nesaruβ,-fa|ñawaya,mnasu,-seh,binapes,ŋorpot,-maᵐb,sasi,surap
131,to burn,,koru,,-sikapia,,mgini,tunia,slai,tün,,tkonia,-paŋ,,kun,-niti,,sul,-huli,sano,kair
132,to buy,i-vori,,,,-sili,gon,,tua,mgür,-mə|gu-rə,,,-tukal,kobĕs,,-taʔun,,,owuko,vori
133,to chew,,,,,,moŋ,,hamóm,m-gor,,,,,mam,,,,,mama,mam
134,to choose,yi-riri,,,,-fihi,fisan,,,,-bi-rə,,,fisa,sra,,-pili,,,maŋgura,iri
135,to climb,-utai,,,,-sa,gewit,,sapák,iet,mietə,,,-sa,aber,,u-sua,,,esi,katar
